Numero,One_Way_Delay_seg
284,0.000912
285,0.001203
286,0.001043
287,0.001120
288,0.001144
289,0.001198
290,0.000946
291,0.000978
292,0.001037
293,0.001074
294,0.001163
295,0.001038
296,0.001099
297,0.001043
298,0.001018
299,0.001187
300,0.000911
301,0.000971
302,0.001123
303,0.000981
304,0.001066
305,0.001050
306,0.002368
307,0.000996
308,0.001085
309,0.000786
310,0.001131
311,0.000933
312,0.000350
313,0.000748
314,0.000395
315,0.000652
316,0.001101
317,0.154385
318,0.104387
319,0.054187
320,0.005746
321,0.001069
322,0.000411
323,0.000878
324,0.001043
325,0.000842
326,0.001027
327,0.000939
328,0.001029
329,0.001022
330,0.000984
331,0.000442
332,0.000430
333,0.001110
334,0.000413
335,0.000492
336,0.000359
337,0.000669
338,0.000974
339,0.003293
340,0.000970
341,0.000977
342,0.000962
343,0.001114
344,0.000932
345,0.001008
346,0.000980
347,0.000563
348,0.000889
349,0.001139
350,0.001023
351,0.000992
352,0.001115
353,0.001130
354,0.000423
355,0.001064
356,0.000985
357,0.001141
358,0.001105
359,0.000734
360,0.001104
361,0.000848
362,0.001182
363,0.000982
364,0.001015
365,0.000595
366,0.001072
367,0.001011
368,0.000924
369,0.000953
370,0.001046
371,0.001060
372,0.002703
373,0.001014
374,0.000498
375,0.001267
376,0.000383
377,0.000948
378,0.001050
379,0.001012
380,0.000917
381,0.000523
382,0.000996
383,0.000908
384,0.000885
385,0.001025
386,0.001236
387,0.001031
388,0.001274
389,0.001012
390,0.000944
391,0.001060
392,0.000893
393,0.001011
394,0.000567
395,0.000912
396,0.001060
397,0.001499
398,0.001163
399,0.001297
400,0.001083
401,0.000905
402,0.001026
403,0.001324
404,0.001075
405,0.001936
406,0.001263
407,0.001095
408,0.000988
409,0.000973
410,0.000983
411,0.000919
412,0.001035
413,0.001054
414,0.000845
415,0.001110
416,0.000845
417,0.001044
418,0.001009
419,0.001017
420,0.001095
421,0.000444
422,0.000938
423,0.000980
424,0.001036
425,0.001015
426,0.001014
427,0.000969
428,0.001008
429,0.000950
430,0.001068
431,0.000991
432,0.001097
433,0.000392
434,0.000685
435,0.000973
436,0.001079
437,0.001195
438,0.001555
439,0.000979
440,0.001023
441,0.001224
442,0.001491
443,0.001205
444,0.000940
445,0.001022
446,0.001100
447,0.000970
448,0.000935
449,0.000991
450,0.000963
451,0.001082
452,0.001209
453,0.101247
454,0.051163
455,0.007274
456,0.000718
457,0.000379
458,0.001092
459,0.001027
460,0.000871
461,0.000933
462,0.001068
463,0.001102
464,0.000953
465,0.000892
466,0.001036
467,0.001011
468,0.001119
469,0.001034
470,0.001256
471,0.003345
472,0.000890
473,0.000405
474,0.000834
475,0.000974
476,0.000919
477,0.000930
478,0.000975
479,0.001241
480,0.001043
481,0.001067
482,0.103037
483,0.052905
484,0.005407
485,0.051199
486,0.008249
487,0.001303
488,0.001027
489,0.001004
490,0.001287
491,0.000996
492,0.001063
493,0.000552
494,0.001084
495,0.000975
496,0.001049
497,0.000434
498,0.001093
499,0.000979
500,0.000998
501,0.001005
502,0.001158
503,0.001051
504,0.003148
505,0.000371
506,0.000425
507,0.000489
508,0.000374
509,0.000420
510,0.000461
511,0.000403
512,0.000363
513,0.000373
514,0.000360
515,0.000429
516,0.000353
517,0.000469
518,0.000423
519,0.001138
520,0.001022
521,0.000913
522,0.000390
523,0.000434
524,0.000356
525,0.000405
526,0.000481
527,0.000873
528,0.000893
529,0.101645
530,0.051395
531,0.002481
532,0.000415
533,0.000427
534,0.000417
535,0.000425
536,0.000432
537,0.000451
538,0.000736
539,0.001074
540,0.000700
541,0.001012
542,0.001045
543,0.000422
544,0.000392
545,0.000379
546,0.000406
547,0.000426
548,0.000360
549,0.000321
550,0.000317
551,0.000415
552,0.000331
553,0.000402
554,0.000387
555,0.000373
556,0.000348
557,0.000440
558,0.000406
559,0.000457
560,0.000497
561,0.000452
562,0.000466
563,0.101175
564,0.051066
565,0.002043
566,0.000435
567,0.000413
568,0.000400
569,0.000387
570,0.000373
571,0.000458
572,0.000357
573,0.000652
574,0.000410
575,0.000448
576,0.000467
577,0.000474
578,0.000382
579,0.000459
580,0.000514
581,0.000409
582,0.000458
583,0.000978
584,0.000918
585,0.000414
586,0.151532
587,0.101260
588,0.051134
589,0.002139
590,0.050959
591,0.003727
592,0.000478
593,0.000692
594,0.001002
595,0.001150
596,0.001148
